Subject,filepath,Date,Body,Source
T1055.011: Extra Window Memory Injection,https://attack.mitre.org/techniques/T1055/011,,"Extra Window Memory Injection. process writes shared library, process reads shared library, process writes process memory, process reads process memory, process writes extra window memory ( ewm ), process reads extra window memory ( ewm ), process writes order, process reads order, process reads privileges, process executes privileges, process writes a window, process reads , process executes , process executes functionalities",MITRE-ATT&CK
T1053.005: Scheduled Task,https://attack.mitre.org/techniques/T1053/005,,"Scheduled Task. process executes the windows task scheduler, process writes scheduled task configuration, process executes wmi class `, process executes ps_scheduledtask, process writes an xml path, process executes , process writes scheduled hidden tasks, process reads tasks, process deletes security associated the descriptor, process executes scheduling task functionality, process executes task scheduling",MITRE-ATT&CK
T1205.002: Socket Filters,https://attack.mitre.org/techniques/T1205/002,,"Socket Filters. process writes a connection, process reads the packets, process reads question, process executes raw sockets",MITRE-ATT&CK
T1560.001: Archive via Utility,https://attack.mitre.org/techniques/T1560/001,,"Archive via Utility. process reads , process executes various utilities, process reads file, process writes file, process reads exfiltration, process writes exfiltration, process reads detection, process sends detection",MITRE-ATT&CK
T1021.005: VNC,https://attack.mitre.org/techniques/T1021/005,,"VNC. process executes vnc, process reads file, process reads pivot, process reads network data, process executes a blend of protocols, including vnc, process executes applications, process reads versions of macos, process executes versions of macos, process reads an ssh session, process executes an ssh session, process reads ard an session, process executes ard an session",MITRE-ATT&CK
T1047: Windows Management Instrumentation,https://attack.mitre.org/techniques/T1047,,"Windows Management Instrumentation. process executes windows management instrumentation ( wmi ), process executes example, process deletes shadow copies, process deletes the command, process writes default, process writes windows 11",MITRE-ATT&CK
T1113: Screen Capture,https://attack.mitre.org/techniques/T1113,,"Screen Capture. Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation. Screen capturing functionality may be included as a feature of a remote access tool used in post-compromise operations. Taking a screenshot is also typically possible through native utilities or API calls, such as <code>CopyFromScreen</code>, <code>xwd</code>, or <code>screencapture</code>.(Citation: CopyFromScreen .NET)(Citation: Antiquated Mac Malware)
",MITRE-ATT&CK
T1027.011: Fileless Storage,https://attack.mitre.org/techniques/T1027/011,,"Fileless Storage. process executes file, process reads file, process reads the victim, process sends the victim, process reads , process writes , process writes file, process reads its contents, process writes its contents, process reads the system, process writes the system, process reads order to avoid detection, process writes order to avoid detection, process executes command obfuscation",MITRE-ATT&CK
T1037: Boot or Logon Initialization Scripts,https://attack.mitre.org/techniques/T1037,,"Boot or Logon Initialization Scripts. process writes persistence, process reads their privileges, process executes their privileges",MITRE-ATT&CK
T1557: Adversary-in-the-Middle,https://attack.mitre.org/techniques/T1557,,"Adversary-in-the-Middle. process executes features, process reads information, process executes their position, process executes order, process reads credential file, process writes aitm an position, process executes the aitm position, process writes file",MITRE-ATT&CK
T1033: System Owner/User Discovery,https://attack.mitre.org/techniques/T1033,,"System Owner/User Discovery. process reads a number, process reads user accounts",MITRE-ATT&CK
T1583: Acquire Infrastructure,https://attack.mitre.org/techniques/T1583,,Acquire Infrastructure. process writes ,MITRE-ATT&CK
T1218.011: Rundll32,https://attack.mitre.org/techniques/T1218/011,,"Rundll32. process executes shared library, process executes the manner, process writes multiple identical exported function names, process writes , process renames , process executes linux systems adversaries, process executes trusted binaries",MITRE-ATT&CK
T1613: Container and Resource Discovery,https://attack.mitre.org/techniques/T1613,,Container and Resource Discovery. process reads containers,MITRE-ATT&CK
T1583.007: Serverless,https://attack.mitre.org/techniques/T1583/007,,"Serverless. process executes , process writes",MITRE-ATT&CK
T1132.001: Standard Encoding,https://attack.mitre.org/techniques/T1132/001,,"Standard Encoding. Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system that adheres to existing protocol specifications. Common data encoding schemes include ASCII, Unicode, hexadecimal, Base64, and MIME.(Citation: Wikipedia Binary-to-text Encoding)(Citation: Wikipedia Character Encoding) Some data encoding systems may also result in dat",MITRE-ATT&CK
T1027.009: Embedded Payloads,https://attack.mitre.org/techniques/T1027/009,,"Embedded Payloads. process executes , process reads executable, process writes executable, process writes , process reads , process reads c2 communications, process writes c2 communications, process reads support of an orchestrator module, process writes support of an orchestrator module, process writes example, process reads example, process writes default browsers, process reads default browsers, process reads its contents, process writes its contents, process reads the system, process writes the system, process reads order to avoid detection, process writes order to avoid detection, process executes command obfuscation",MITRE-ATT&CK
T1556.003: Pluggable Authentication Modules,https://attack.mitre.org/techniques/T1556/003,,"Pluggable Authentication Modules. process writes pluggable authentication modules ( pam ), process writes components of the pam system, process writes backdoors, process executes , process reads credential file, process sends credential file, process writes process memory, process reads, process writes",MITRE-ATT&CK
T1578.004: Revert Cloud Instance,https://attack.mitre.org/techniques/T1578/004,,"Revert Cloud Instance. process writes service configuration, process writes infrastructure components",MITRE-ATT&CK
T1592: Gather Victim Host Information,https://attack.mitre.org/techniques/T1592,,"Gather Victim Host Information. process reads sites, process writes sites, process executes sites, process reads host information, process reads visitors, process writes operational resources",MITRE-ATT&CK
T1596.003: Digital Certificates,https://attack.mitre.org/techniques/T1596/003,,"Digital Certificates. process reads certificate file, process reads , process writes , process writes operational resources",MITRE-ATT&CK
T1056.001: Keylogging,https://attack.mitre.org/techniques/T1056/001,,"Keylogging. process reads credential file, process reads authentication key file, process reads a system, process reads a substantial period of time, process reads , process deletes browser cookies, process writes browser cookies, process reads user input, process reads information",MITRE-ATT&CK
T1564.012: File/Path Exclusions,https://attack.mitre.org/techniques/T1564/012,,"File/Path Exclusions. process executes these exclusions, process writes tool settings, process reads , process executes these features, process writes computing regions",MITRE-ATT&CK
T1222.002: Linux and Mac File and Directory Permissions Modification,https://attack.mitre.org/techniques/T1222/002,,"Linux and Mac File and Directory Permissions Modification. process writes file, process writes persistence, process writes configuration file, process writes hijack execution flow, process reads , process writes , process deletes file, process writes accessibility features, process writes example, process writes symbolic links and associated settings",MITRE-ATT&CK
T1110.001: Password Guessing,https://attack.mitre.org/techniques/T1110/001,,"Password Guessing. process executes device interfaces, process executes wireless authentication protocols, process writes log file, process executes knowledge, process reads, process writes, process executes",MITRE-ATT&CK
T1216.001: PubPrn,https://attack.mitre.org/techniques/T1216/001,,"PubPrn. process executes pubprn, process executes",MITRE-ATT&CK
T1597.002: Purchase Technical Data,https://attack.mitre.org/techniques/T1597/002,,"Purchase Technical Data. process reads opportunities for successful breaches, process writes operational resources",MITRE-ATT&CK
T1003: OS Credential Dumping,https://attack.mitre.org/techniques/T1003,,"OS Credential Dumping. process reads credential file, process writes credential file, process reads the form, process writes the form",MITRE-ATT&CK
